Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
C,CITIGROUP INC COM NEW,114.86,21.2,UP,102.65,87.84,2.8,11.66,13.09,N/A
CAG,CONAGRA BRANDS INC COM,17.35,30.1,DOWN,17.67,20.7,0.74,9.45,11.06,N/A
CAH,CARDINAL HEALTH INC COM,202.95,20.9,UP,189.96,159.54,0.21,18.31,2.55,N/A
CAR,AVIS BUDGET GROUP COM,130.59,47.9,FLAT,138.94,132.84,0.39,17.72,0.78,N/A
CART,MAPLEBEAR INC COM,45.94,35.3,FLAT,40.64,43.09,3.33,11.7,6.19,N/A
CAT,CATERPILLAR INC COM,576.22,29.8,UP,561.13,426.29,4.17,25.79,2.89,N/A
CAVA,CAVA GROUP INC COM,56.91,49.2,FLAT,54.21,73.5,5.83,98.53,4.25,N/A
CBOE,"Cboe Global Markets, Inc.",247.27,26.2,FLAT,249.13,235.0,5.6,22.66,0.78,N/A
CC,CHEMOURS CO COM,11.82,58.6,DOWN,12.61,13.03,0.3,6.73,2.83,N/A
CCCX,CHURCHILL CAP CORP X SHS CL A,13.85,84.6,FLAT,16.89,13.6,0,0,4.5,N/A
CCJ,CAMECO CORP COM,89.99,45.8,FLAT,90.39,70.59,11.34,63.05,5.01,N/A
CCL,CARNIVAL CORP PAIRED CTF,31.12,38.9,UP,27.31,25.86,1.53,11.22,23.3,N/A
CDE,COEUR MNG INC COM NEW,18.25,72.1,UP,16.94,11.6,6.89,12.69,17.32,N/A
CDNS,CADENCE DESIGN SYSTEM INC COM,314.91,34.4,FLAT,324.46,315.07,16.46,39.11,1.76,N/A
CEG,CONSTELLATION ENERGY CORP COM,355.4,50.1,FLAT,364.04,307.26,4.47,30.68,2.73,N/A
CELH,CELSIUS HLDGS INC COM NEW,42.8,46.4,FLAT,49.68,45.85,5.19,27.67,6.4,N/A
CF,CF INDS HLDGS INC COM,78.7,35.8,DOWN,81.75,85.07,1.89,10.64,2.48,N/A
CGC,CANOPY GROWTH CORP COM NEW,1.48,137.5,FLAT,1.27,1.29,1.96,22.69,33.63,N/A
CHPT,CHARGEPOINT HOLDINGS INC COM SHS,7.32,72.7,DOWN,9.47,11.74,0.43,-2.03,0.52,N/A
CHTR,CHARTER COMMUNICATIONS INC NEW CL A,205.0,38.1,DOWN,220.39,311.03,0.51,4.78,2.01,N/A
CHWY,CHEWY INC CL A,32.46,37.3,DOWN,34.5,37.45,1.07,20.85,7.23,N/A
CI,THE CIGNA GROUP COM,271.89,28.7,DOWN,277.82,301.87,0.27,8.89,2.01,N/A
CIEN,CIENA CORP COM NEW,230.34,51.6,UP,193.24,114.09,6.81,33.45,3.03,N/A
CIFR,CIPHER MINING INC COM,16.21,96.1,FLAT,18.28,8.78,31.02,33.08,50.44,N/A
CL,COLGATE PALMOLIVE CO COM,78.36,21.4,FLAT,78.26,85.72,3.15,20.41,6.67,N/A
CLF,CLEVELAND-CLIFFS INC NEW COM,13.22,48.8,UP,12.43,10.03,0.4,49.29,26.55,N/A
CLOV,CLOVER HEALTH INVESTMENTS CORP COM CL A,2.58,64.1,DOWN,2.78,3.03,0.75,43.0,8.68,N/A
CLS,CELESTICA INC COM,292.29,67.6,FLAT,308.86,190.89,2.98,34.77,3.05,N/A
CLSK,CLEANSPARK INC COM NEW,12.03,82.0,FLAT,15.24,11.46,4.2,75.19,35.55,N/A
CMCSA,COMCAST CORP NEW CL A,29.57,27.3,FLAT,28.07,32.63,0.89,7.11,34.19,N/A
CME,CME GROUP INC COM,269.09,16.1,FLAT,272.13,270.95,15.2,23.08,1.93,N/A
CMG,CHIPOTLE MEXICAN GRILL INC COM,37.64,34.8,FLAT,35.34,44.66,4.28,30.87,22.82,N/A
CNC,CENTENE CORP DEL COM,39.02,42.1,FLAT,36.98,43.45,0.11,13.49,9.54,N/A
CNQ,CANADIAN NAT RES LTD COM,31.9,27.4,FLAT,32.35,31.18,1.72,13.85,7.22,N/A
COF,CAPITAL ONE FINL CORP COM,243.73,24.5,UP,220.63,205.22,5.4,11.69,3.86,N/A
COHR,COHERENT CORP COM,185.83,62.0,UP,148.77,101.2,4.83,29.3,4.33,N/A
COIN,COINBASE GLOBAL INC COM CL A,245.12,51.0,FLAT,295.56,284.12,8.97,34.99,9.58,N/A
COMM,COMMSCOPE HLDG CO INC COM,18.29,42.2,UP,17.37,11.11,0.76,12.02,4.65,N/A
CONL,GRANITESHARES ETF TR 2X LONG COIN DAI,0,266.4,N/A,27.28,30.27,0,0,6.19,N/A
COP,CONOCOPHILLIPS COM,91.94,25.5,FLAT,89.59,92.32,1.87,14.79,6.92,N/A
CORZ,CORE SCIENTIFIC INC NEW COM,15.6,77.1,FLAT,17.7,13.55,14.47,50.32,15.98,N/A
COST,COSTCO WHSL CORP NEW COM,855.62,18.0,DOWN,910.34,952.97,1.35,38.56,2.76,N/A
CPB,THE CAMPBELLS COMPANY COM,28.58,24.6,DOWN,30.19,33.22,0.84,10.88,6.11,N/A
CPNG,COUPANG INC CL A,23.2,35.0,FLAT,28.6,27.84,1.26,45.43,10.39,N/A
CRCL,CIRCLE INTERNET GROUP INC COM CL A,86.13,66.6,DOWN,100.36,137.23,9.09,67.16,13.79,N/A
CRDO,CREDO TECHNOLOGY GROUP HOLDING ORDINARY SHARES,150.13,74.1,FLAT,155.85,105.15,34.06,40.3,6.37,N/A
CRH,CRH PLC ORD,124.42,58.0,UP,118.12,103.86,2.26,20.52,7.02,N/A
CRM,SALESFORCE INC COM,259.91,24.0,FLAT,247.24,257.52,6.14,19.81,8.6,N/A
CRML,CRITICAL METALS CORP PUBCO ORD SHS,7.53,139.5,FLAT,11.47,5.58,1583.63,0,16.82,N/A
CROX,CROCS INC COM,89.31,44.8,FLAT,83.13,93.38,1.2,7.47,1.81,N/A
CRSP,CRISPR THERAPEUTICS AG NAMEN AKT,55.86,65.3,FLAT,58.96,51.1,138.86,-12.52,2.38,N/A
CRWD,CROWDSTRIKE HLDGS INC CL A,481.28,33.5,FLAT,515.26,456.4,26.58,99.55,2.41,N/A
CRWV,COREWEAVE INC COM CL A,83.0,83.1,DOWN,99.85,104.39,9.6,-312.55,30.66,N/A
CSCO,CISCO SYS INC COM,78.42,22.4,UP,74.42,67.08,5.37,17.53,21.1,N/A
CSIQ,CANADIAN SOLAR INC COM,24.49,78.3,UP,22.37,13.77,0.28,-151.96,4.64,N/A
CSX,CSX CORP COM,36.5,26.8,UP,35.67,32.97,4.82,19.21,14.34,N/A
CTAS,CINTAS CORP COM,187.57,30.4,FLAT,186.46,205.44,7.0,34.75,2.27,N/A
CTRA,COTERRA ENERGY INC COM,25.38,27.3,UP,25.28,25.12,2.91,9.76,9.06,N/A
CVNA,CARVANA CO CL A,450.22,49.5,UP,362.56,319.32,5.34,60.65,4.01,N/A
