Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
CL,COLGATE PALMOLIVE CO COM,77.6,29.7,DOWN,78.27,86.47,3.12,20.1,6.42,N/A
CLF,CLEVELAND-CLIFFS INC NEW COM,12.75,53.9,UP,12.43,9.91,0.39,32.69,27.9,N/A
CLOV,CLOVER HEALTH INVESTMENTS CORP COM CL A,2.66,96.9,DOWN,2.82,3.12,0.77,-19.0,9.0,N/A
CLS,CELESTICA INC COM,322.79,52.0,UP,294.05,178.42,3.29,72.54,3.18,N/A
CLSK,CLEANSPARK INC COM NEW,15.03,81.3,SIDEWAYS,15.88,11.17,5.24,16.7,35.42,N/A
CMCSA,COMCAST CORP NEW CL A,27.2,42.6,DOWN,28.64,33.09,0.81,6.21,29.52,N/A
CME,CME GROUP INC COM,273.19,43.6,UP,271.31,269.78,15.43,26.34,1.89,N/A
CMG,CHIPOTLE MEXICAN GRILL INC COM,34.15,32.8,DOWN,36.42,45.71,3.88,26.07,23.31,N/A
CNC,CENTENE CORP DEL COM,38.85,49.8,SIDEWAYS,36.44,44.62,0.11,5.52,11.23,N/A
CNQ,CANADIAN NAT RES LTD COM,34.46,70.7,UP,32.23,30.92,1.86,13.31,7.08,N/A
COF,CAPITAL ONE FINL CORP COM,229.71,24.9,UP,215.22,202.73,5.09,14.67,3.69,N/A
COHR,COHERENT CORP COM,177.35,64.4,UP,133.12,94.79,4.61,40.68,4.13,N/A
COIN,COINBASE GLOBAL INC COM CL A,274.05,45.1,SIDEWAYS,316.78,281.84,10.03,76.76,9.91,N/A
COMM,COMMSCOPE HLDG CO INC COM,18.83,77.0,UP,16.56,10.3,0.79,23.54,4.88,N/A
CONL,GRANITESHARES ETF TR 2X LONG COIN DAI,0,1706.3,SIDEWAYS,32.15,30.64,N/A,N/A,6.35,N/A
COP,CONOCOPHILLIPS COM,93.12,32.3,SIDEWAYS,89.21,92.43,1.9,11.6,6.59,N/A
CORZ,CORE SCIENTIFIC INC NEW COM,17.08,62.1,SIDEWAYS,18.02,13.2,15.85,55.1,16.25,N/A
COST,COSTCO WHSL CORP NEW COM,895.855,17.2,DOWN,920.13,962.85,1.44,45.52,2.44,N/A
CPB,THE CAMPBELLS COMPANY COM,29.36,30.5,DOWN,30.73,33.9,0.85,8.61,5.57,N/A
CPNG,COUPANG INC CL A,27.02,30.1,SIDEWAYS,30.22,27.79,1.47,57.49,11.73,N/A
CRCL,CIRCLE INTERNET GROUP INC COM CL A,87.46,54.5,DOWN,112.7,142.27,9.23,67.31,14.1,N/A
CRDO,CREDO TECHNOLOGY GROUP HOLDING ORDINARY SHARES,180.92,57.6,UP,154.17,99.26,41.05,234.96,6.31,N/A
CRH,CRH PLC ORD,121.05,74.9,UP,116.4,102.43,2.2,19.94,3.81,N/A
CRM,SALESFORCE INC COM,247.46,34.6,SIDEWAYS,243.18,260.13,5.99,22.23,8.47,N/A
CRML,CRITICAL METALS CORP PUBCO ORD SHS,9.94,137.5,SIDEWAYS,11.5,5.19,2086.93,N/A,16.31,N/A
CROX,CROCS INC COM,88.24,50.0,SIDEWAYS,81.61,94.29,1.18,6.71,1.91,N/A
CRSP,CRISPR THERAPEUTICS AG NAMEN AKT,58.18,93.8,SIDEWAYS,61.53,50.44,144.63,-11.54,2.55,N/A
CRWD,CROWDSTRIKE HLDGS INC CL A,513.12,34.2,SIDEWAYS,513.82,449.95,28.21,120.17,2.64,N/A
CRWV,COREWEAVE INC COM CL A,85.75,69.9,SIDEWAYS,111.56,106.07,9.92,-345.04,30.2,N/A
CSCO,CISCO SYS INC COM,77.76,17.8,UP,72.24,66.22,5.33,19.94,20.45,N/A
CSIQ,CANADIAN SOLAR INC COM,24.73,76.0,UP,20.31,12.99,0.28,8.56,4.55,N/A
CSX,CSX CORP COM,36.18,23.4,UP,35.27,32.68,4.78,17.82,14.27,N/A
CTAS,CINTAS CORP COM,184.03,52.5,DOWN,189.28,206.55,7.02,39.32,2.19,N/A
CTRA,COTERRA ENERGY INC COM,27.34,27.3,SIDEWAYS,24.59,25.17,3.13,11.73,8.87,N/A
CVNA,CARVANA CO CL A,398.85,62.0,UP,345.99,306.08,4.73,169.72,3.12,N/A
CVS,CVS HEALTH CORP COM,76.75,20.4,SIDEWAYS,78.37,69.58,0.25,11.84,7.5,N/A
CVX,CHEVRON CORP NEW COM,152.26,14.9,SIDEWAYS,152.35,150.8,1.63,13.79,7.58,N/A
CZR,CAESARS ENTERTAINMENT INC NEW COM,22.94,51.6,SIDEWAYS,22.29,26.36,0.42,17.12,9.27,N/A
DAL,DELTA AIR LINES INC DEL COM NEW,67.24,37.5,UP,59.33,53.45,0.7,9.58,8.5,N/A
DASH,DOORDASH INC CL A,221.19,44.0,SIDEWAYS,239.36,223.59,7.55,124.26,4.74,N/A
DBRG,DIGITALBRIDGE GROUP INC CL A NEW,9.72,68.8,SIDEWAYS,11.22,10.52,18.89,24.3,3.27,N/A
DBX,DROPBOX INC CL A,29.78,27.7,UP,29.57,28.42,3.08,11.63,3.35,N/A
DDD,3-D SYS CORP DEL COM NEW,2.25,168.8,SIDEWAYS,2.68,2.26,0.74,-15.0,3.68,N/A
DDOG,DATADOG INC CL A COM,153.0,42.3,SIDEWAYS,162.06,131.19,16.71,75.37,4.55,N/A
DE,DEERE & CO COM,483.03,19.0,SIDEWAYS,467.44,484.29,2.86,21.79,1.43,N/A
DECK,DECKERS OUTDOOR CORP COM,96.25,32.4,SIDEWAYS,91.61,108.12,2.72,15.13,3.85,N/A
DELL,DELL TECHNOLOGIES INC CL C,138.99,42.5,SIDEWAYS,143.64,120.33,0.9,14.79,7.54,N/A
DFDV,DEFI DEVELOPMENT CORP COM,6.98,125.8,DOWN,11.45,13.37,29.12,-11.17,1.86,N/A
DG,DOLLAR GEN CORP NEW COM,125.29,51.2,UP,102.84,100.41,0.66,20.14,3.03,N/A
DHI,D R HORTON INC COM,160.73,36.1,UP,153.81,141.55,1.4,10.09,3.27,N/A
DHR,DANAHER CORPORATION COM,227.13,39.9,UP,214.41,202.81,6.7,27.1,4.2,N/A
DIA,SPDR DOW JONES INDL AVERAGE ET UT SER 1,0,0.0,SIDEWAYS,468.16,440.12,N/A,N/A,6.56,N/A
DIS,DISNEY WALT CO COM,105.47,20.5,SIDEWAYS,110.0,109.71,2.01,20.48,9.67,N/A
DJT,TRUMP MEDIA & TECHNOLOGY GROUP COM,11.79,46.9,DOWN,14.31,18.82,897.57,N/A,6.28,N/A
DKNG,DRAFTKINGS INC NEW COM CL A,35.19,38.5,SIDEWAYS,32.9,38.39,3.21,61.74,16.72,N/A
DLR,DIGITAL RLTY TR INC COM,161.02,75.2,SIDEWAYS,167.96,165.38,9.64,133.07,1.69,N/A
DLTR,DOLLAR TREE INC COM,115.87,32.8,UP,99.69,93.58,1.5,19.12,4.44,N/A
DNN,DENISON MINES CORP COM,2.84,93.8,UP,2.74,2.0,523.7,-71.0,84.71,N/A
DNUT,KRISPY KREME INC COM,4.22,137.5,SIDEWAYS,3.78,3.94,0.47,13.19,7.97,N/A
DOCN,DIGITALOCEAN HLDGS INC COM,46.25,76.8,UP,41.85,34.31,4.9,25.0,2.82,N/A
DOCU,DOCUSIGN INC COM,71.1,165.7,SIDEWAYS,70.05,77.39,4.64,19.27,2.97,N/A
DOW,DOW INC COM,22.87,38.3,SIDEWAYS,22.53,27.51,0.4,7.35,13.58,N/A
DPST,DIREXION SHS ETF TR DAILY REGIONAL,0,536.3,SIDEWAYS,89.54,88.81,N/A,N/A,0.96,N/A
DUOL,DUOLINGO INC CL A COM,188.38,53.0,DOWN,259.49,347.52,9.03,62.38,1.92,N/A
DVN,DEVON ENERGY CORP NEW COM,37.71,23.6,UP,34.35,33.64,1.45,8.46,7.84,N/A
DXCM,DEXCOM INC COM,65.25,47.9,SIDEWAYS,64.12,75.29,5.67,32.14,6.41,N/A
EA,ELECTRONIC ARTS INC COM,203.44,17.8,UP,200.04,163.98,6.98,23.85,3.33,N/A
EBAY,EBAY INC. COM,82.13,34.0,SIDEWAYS,87.5,79.69,3.5,15.73,5.42,N/A
EEM,ISHARES TR MSCI EMG MKT ETF,0,144.7,SIDEWAYS,54.32,48.68,N/A,N/A,26.76,N/A
EFA,ISHARES TR MSCI EAFE ETF,0,237.9,SIDEWAYS,94.29,88.82,N/A,N/A,15.59,N/A
EH,EHANG HLDGS LTD ADS,14.32,41.4,DOWN,16.8,17.98,2.4,62.26,1.28,N/A
EL,LAUDER ESTEE COS INC CL A,103.82,34.5,UP,92.8,79.53,2.59,38.45,3.45,N/A
ELF,E L F BEAUTY INC COM,81.62,59.3,SIDEWAYS,108.21,99.73,3.51,18.94,2.25,N/A
EMB,ISHARES TR JPMORGAN USD EMG,0,195.0,SIDEWAYS,95.33,92.66,N/A,N/A,7.26,N/A
EMR,EMERSON ELEC CO COM,136.64,43.9,UP,131.07,125.52,4.27,21.62,2.74,N/A
ENPH,ENPHASE ENERGY INC COM,30.76,50.4,DOWN,32.72,42.41,2.66,8.4,8.05,N/A
ENVX,ENOVIX CORPORATION COM,9.09,54.7,SIDEWAYS,10.27,9.51,65.36,-13.77,8.01,N/A
EOG,EOG RES INC COM,112.16,20.2,SIDEWAYS,108.19,116.23,2.7,10.14,3.87,N/A
EOSE,EOS ENERGY ENTERPRISES INC COM CL A,15.59,95.7,UP,14.48,7.65,79.62,-14.05,23.7,N/A
EPD,ENTERPRISE PRODS PARTNERS L P COM,32.61,15.4,SIDEWAYS,31.14,31.68,1.33,11.44,4.13,N/A
EQT,EQT CORP COM,60.07,37.5,UP,56.25,53.69,4.86,23.84,8.05,N/A
ET,ENERGY TRANSFER L P COM UT LTD PTN,16.8,17.2,SIDEWAYS,16.56,17.49,0.72,10.63,14.2,N/A
ETH,GRAYSCALE ETHEREUM MINI TR ETF SHS NEW,0,730.5,SIDEWAYS,34.56,28.88,N/A,N/A,6.54,N/A
ETHA,ISHARES ETHEREUM TR SHS,0,1218.8,SIDEWAYS,27.74,23.2,N/A,N/A,50.94,N/A
ETHE,GRAYSCALE ETHEREUM TRUST ETF SHS,0,590.6,SIDEWAYS,30.15,25.34,N/A,N/A,6.62,N/A
ETHU,2x Ether ETF,0,761.3,SIDEWAYS,97.56,84.92,N/A,N/A,6.99,N/A
ETN,EATON CORP PLC SHS,338.93,26.4,SIDEWAYS,364.63,335.96,4.95,28.13,2.51,N/A
ETSY,ETSY INC COM,52.19,44.9,SIDEWAYS,63.83,55.85,1.81,20.07,5.18,N/A
EWJ,ISHARES INC MSCI JPN ETF NEW,0,126.6,SIDEWAYS,82.1,75.43,N/A,N/A,6.15,N/A
EWZ,ISHARES INC MSCI BRAZIL ETF,0,300.0,SIDEWAYS,31.41,28.28,N/A,N/A,24.94,N/A
EXPE,EXPEDIA GROUP INC COM NEW,258.38,49.8,UP,232.4,193.31,2.22,17.99,2.05,N/A
F,FORD MTR CO COM,13.14,24.2,UP,12.56,11.11,0.28,7.51,92.33,N/A
FAS,DIREXION SHS ETF TR DLY FIN BULL NEW,0,238.0,SIDEWAYS,165.38,160.23,N/A,N/A,0.57,N/A
FBTC,Fidelity Wise Origin Bitcoin Fund,0,351.8,SIDEWAYS,91.74,90.19,N/A,N/A,6.03,N/A
FCEL,FUELCELL ENERGY INC COM NEW,8.06,94.5,UP,8.05,5.92,2.52,-1.36,4.1,N/A
FCX,FREEPORT-MCMORAN INC CL B,44.61,37.5,UP,40.82,40.46,2.46,20.65,19.31,N/A
FDX,FEDEX CORP COM,274.05,20.0,UP,252.0,234.68,0.73,12.05,1.87,N/A
FEZ,SPDR INDEX SHS FDS EURO STOXX 50,0,164.6,SIDEWAYS,62.55,59.08,N/A,N/A,1.35,N/A
FFAI,FARADAY FUTURE INTLGT ELEC INC COM NEW CL A,1.2,387.5,DOWN,1.29,1.54,316.46,-0.62,8.67,N/A
FHN,FIRST HORIZON CORPORATION COM,22.83,41.0,UP,21.76,20.75,3.64,14.54,11.52,N/A
FIG,FIGMA INC CLASS A COM STK,38.71,56.1,DOWN,48.47,58.23,19.8,165.98,10.05,N/A
FIS,FIDELITY NATL INFORMATION SVCS COM,65.56,27.9,DOWN,65.61,72.59,3.27,11.48,4.09,N/A
