Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
FLY,FIREFLY AEROSPACE INC COM,23.4,3.1,DOWN,33.51,-30.59,2.21,N/A
FSLR,FIRST SOLAR INC COM,267.365,0.4,UP,5.68,11.36,2.22,N/A
FSLY,FASTLY INC CL A,10.46,3.1,UP,2.64,76.97,4.57,N/A
FTAI,FTAI AVIATION LTD SHS,181.79,3.1,UP,7.95,26.95,1.08,N/A
FTNT,FORTINET INC COM,82.4119,0.8,DOWN,9.63,28.17,5.4,N/A
FUBO,FUBOTV INC CLASS A COM SHS,2.76,50.0,DOWN,0.59,26.29,14.82,N/A
FUTU,FUTU HLDGS LTD SPON ADS CL A,174.145,3.1,UP,1.28,15.36,2.11,N/A
FXI,ISHARES TR CHINA LG-CAP ETF,0,0.0,Down,0,0,31.53,N/A
GAP,GAP INC COM,26.84,3.1,UP,0.65,11.72,8.98,N/A
GBTC,GRAYSCALE BITCOIN TRUST ETF SHS REP COM UT,0,0.0,Down,0,0,5.1,N/A
GD,GENERAL DYNAMICS CORP COM,339.6601,0.8,UP,1.78,19.7,1.15,N/A
GDDY,GODADDY INC CL A,126.47,6.3,DOWN,3.6,12.66,1.48,N/A
GDX,VANECK ETF TRUST GOLD MINERS ETF,0,0.0,Down,0,0,27.2,N/A
GDXJ,VANECK ETF TRUST JUNIOR GOLD MINE,0,0.0,Down,0,0,6.47,N/A
GE,GE AEROSPACE COM NEW,298.845,1.6,UP,7.21,41.47,4.1,N/A
GEHC,GE HEALTHCARE TECHNOLOGIES INC COMMON STOCK,85.4078,0.0,UP,1.93,17.34,3.65,N/A
GEMI,GEMINI SPACE STA INC CL A COM,14.68,0.0,DOWN,10.63,-5.58,3.02,N/A
GEV,GE VERNOVA INC COM,675.99,0.0,UP,4.89,52.3,3.11,N/A
GILD,GILEAD SCIENCES INC COM,123.06,0.0,UP,5.25,14.08,7.32,N/A
GLD,SPDR GOLD TR GOLD SHS,0,0.0,Down,0,0,15.96,N/A
GLW,CORNING INC COM,93.64,3.1,UP,5.38,30.45,7.35,N/A
GLXY,GALAXY DIGITAL INC. CL A,29.55,0.0,UP,0.5,-406.3,9.02,N/A
GM,GENERAL MTRS CO COM,81.1954,0.0,UP,0.41,7.0,9.46,N/A
GME,GAMESTOP CORP NEW CL A,21.8,6.3,DOWN,2.56,26.91,7.25,N/A
GNRC,GENERAC HLDGS INC COM,165.25,0.0,UP,2.23,20.05,1.13,N/A
GOOG,ALPHABET INC CAP STK CL C,312.48,0.1,UP,9.79,27.96,23.59,N/A
GOOGL,ALPHABET INC CAP STK CL A,311.23,0.0,UP,9.78,27.85,36.84,N/A
GOOS,CANADA GOOSE HLDGS INC SHS SUB VTG,13.18,0.0,UP,0.94,16.2,0.62,N/A
GPRO,GOPRO INC CL A,1.77,50.0,UP,0.43,35.4,7.89,N/A
GRAB,GRAB HOLDINGS LIMITED CLASS A ORD,5.2324,0.0,UP,6.62,50.47,54.44,N/A
GRRR,GORILLA TECHNOLOGY GROUP INC SHS NEW,14.62,0.0,DOWN,3.32,15.72,1.54,N/A
GS,GOLDMAN SACHS GROUP INC COM,910.91,0.0,UP,4.81,16.53,2.02,N/A
GSK,GSK PLC SPONSORED ADR,48.84,3.1,UP,3.06,10.49,5.18,N/A
GTLB,GITLAB INC CLASS A COM,40.57,0.0,DOWN,7.54,39.22,4.56,N/A
GTM,ZOOMINFO TECHNOLOGIES INC COMMON STOCK,9.905,25.0,DOWN,2.55,8.92,4.48,N/A
HAL,HALLIBURTON CO COM,29.245,0.0,UP,1.13,13.21,12.74,N/A
HD,HOME DEPOT INC COM,359.99,0.0,DOWN,2.16,23.71,3.9,N/A
HIMS,HIMS & HERS HEALTH INC COM CL A,38.47,0.8,DOWN,3.96,33.98,26.15,N/A
HIVE,HIVE DIGITAL TECHNOLOGIES LTD COM NEW,3.2698,50.0,UP,4.03,4.95,31.04,N/A
HL,HECLA MNG CO COM,20.02,0.0,UP,10.96,26.74,21.88,N/A
HLF,HERBALIFE LTD COM SHS,14.5701,25.0,UP,0.3,5.29,1.7,N/A
HLT,HILTON WORLDWIDE HLDGS INC COM,280.445,0.0,UP,13.54,30.7,1.77,N/A
HOG,HARLEY DAVIDSON INC COM,22.25,6.3,DOWN,0.58,10.28,1.96,N/A
HON,HONEYWELL INTL INC COM,193.67,0.0,DOWN,3.21,18.33,4.62,N/A
HOOD,ROBINHOOD MKTS INC COM CL A,123.83,0.8,UP,26.49,47.63,32.51,N/A
HPE,HEWLETT PACKARD ENTERPRISE CO COM,24.155,0.0,UP,0.93,8.81,31.82,N/A
HPQ,HP INC COM,25.245,0.0,DOWN,0.43,7.78,12.24,N/A
HRL,HORMEL FOODS CORP COM,23.915,3.1,DOWN,1.09,15.35,4.97,N/A
HSBC,HSBC HLDGS PLC SPON ADR NEW,75.27,0.0,UP,4.46,9.08,1.67,N/A
HSY,HERSHEY CO COM,182.7,0.0,UP,3.22,26.68,1.68,N/A
HTZ,HERTZ GLOBAL HLDGS INC COM NEW,5.21,0.0,DOWN,0.19,-8.56,11.82,N/A
